Video Title,Video ID,Publish Date,Views,Video Length,Transcript Found
Pip | A Short Animated Film by Southeastern Guide Dogs,07d2dXHYb94,2018-10-24T20:00:14Z,483855336,4:05,No
Siren Head- Horror Short Film,zrkB1HVpz5k,2020-06-18T15:29:02Z,177776572,4:43,Yes
Hair Love | Oscar®-Winning Short Film (Full) | Sony Pictures Animation,kNw8V_Fkw28,2019-12-05T14:00:12Z,103390275,6:48,No
Taylor Swift - All Too Well: The Short Film,tollGa3S0o8,2021-11-13T00:00:10Z,95147886,14:56,Yes
Pregnancy - How a Wonder is Born! (Animation),izOa3-AX8zQ,2021-04-30T22:54:41Z,87298754,19:35,Yes
Making The World's First Male Sex Doll | Slutever,GKFHZuCvvS4,2016-10-20T17:20:43Z,86002618,17:21,No
The Fox and the Bird - CGI short film by Fred and Sam Guillaume,Jm0MLlE4x0U,2021-03-25T12:00:04Z,56810853,12:07,Yes
Heart of a Lio: The amazing animated short film by Gatorade,nPsz2ggTAkk,2018-06-06T05:21:00Z,53403692,4:20,Yes
Off to the Vet (Full Film in COLOUR) I A Simon’s Cat SPECIAL,GTUruS-lnEo,2017-10-26T12:09:49Z,51932039,12:52,Yes
YFN Lucci - Documentary ( Lyrics ),HSI_Dt4cmOY,2016-10-02T17:36:46Z,49928585,5:44,Yes
"One Day in the Coldest Village on Earth −71°C (−95°F)  | Yakutia, Siberia",lj5GXZaE7qs,2022-03-02T13:00:11Z,44838577,17:35,Yes
FORTNITE The Movie (Official Fake Trailer),UfKmSfgFxi8,2018-05-11T21:11:16Z,44115423,8:47,Yes
YFN Lucci - Documentary [Official Music Video],vLzREYJ1ucA,2017-02-16T21:46:57Z,38302449,4:14,Yes
"""FIRST TIMERS"" - Starring Nick Merico, Comedy Short Film",osU7D-4KIeQ,2019-12-13T23:00:09Z,37821630,8:59,No
Bean ARRESTED | Bean Movie | Funny Clips | Mr Bean Official,13FLawVtwSc,2020-01-07T14:00:00Z,37103667,10:11,No
Cicada 3301: An Internet Mystery,I2O7blSSzpI,2018-05-19T18:50:31Z,33893907,17:54,Yes
FULL FILM: McLaren Speedtail vs F35 Fighter Jet | Top Gear,ROOeGPrC1Do,2020-04-26T09:15:00Z,32459354,6:55,Yes
AIRPLANE Bean | Bean Movie | Funny Clips | Mr Bean Official,du4DDUcC2gw,2019-12-17T14:00:08Z,30322034,10:56,Yes
SURGERY With Dr Bean | Mr Bean: The Movie | Mr Bean Official,FG3ohfDASao,2021-04-08T13:00:09Z,28097756,13:15,Yes
WiNDUP: Award-winning animated short film | Unity,efGqe1j3RNk,2021-01-19T20:03:16Z,25120591,9:55,No
Horror Short Film “The Dollmaker” | ALTER,OqSmb3n0j8o,2019-04-04T16:45:00Z,24693597,9:04,No
Inside Hong Kong’s cage homes,hLrFyjGZ9NU,2018-08-15T10:00:14Z,23508924,9:54,Yes
The Real Walter White,HkB9VJdu27M,2013-11-27T19:16:50Z,22911050,17:03,Yes
An American Coach in London: NBC Sports Premier League Film featuring Jason Sudeikis,6KeG_i8CWE8,2013-08-03T07:57:56Z,21694344,4:42,Yes
"Sci-Fi Short Film “FTL"" | DUST",t8LD0iUYv80,2019-01-05T15:00:12Z,21560335,14:43,Yes
Film Theory: The Cars in The Cars Movie AREN'T CARS!,4riem49Yjus,2017-03-14T20:00:36Z,20824806,13:32,Yes
Film Theory: What is the Bird Box Monster? (Bird Box Netflix),DiTaYglOlnY,2019-02-05T23:22:10Z,19609006,18:35,Yes
Film Theory: The HORRIFIC Story of Salad Fingers,G-J9UhqwHfQ,2016-10-06T22:01:19Z,16224385,16:01,Yes
FATHOM - [Thriller] Slender Man Short Film,q2duevcUMGw,2013-10-25T21:10:48Z,15603282,8:01,Yes
Documentary (feat. Bigga Rankin),1Y2rfQz8gAs,2016-03-02T06:07:05Z,15263905,4:15,No
Ex-Mob Boss Rates 13 Mafia Movie Scenes | How Real Is It?,_HZbkdEggHI,2020-02-17T15:38:37Z,14474324,12:48,Yes
"I've Eaten Only Mac & Cheese for the Past 17 Years, Here's Why",v1TWvXwgKr0,2019-10-13T15:00:09Z,14332751,18:03,Yes
"""Model Citizen"" | Dystopian Animated Short Film (2020)",mVLrBJYGxk4,2020-01-10T07:22:16Z,14030066,5:04,Yes
Film Theory: ENDING The Salad Fingers Mystery,uCTTeql6V-A,2016-10-29T17:18:43Z,13873811,13:14,Yes
"Horror Short Film ""Other Side of the Box"" | ALTER",OrOYvVf6tIM,2020-12-25T14:00:15Z,13728593,15:23,No
Documentary Of Marble Quarries Based In Greece (Marble Extraction And Proccesing),NrtwBO_nyFA,2022-01-20T14:00:11Z,13496366,7:46,Yes
Explained | The Stock Market | FULL EPISODE | Netflix,ZCFkWDdmXG8,2020-04-17T13:00:02Z,13330349,17:34,No
How fan films shaped The Lego Movie,TVe5XPU10Zc,2017-06-15T13:07:45Z,13199817,7:56,Yes
Horror Short Film “Teeth” | ALTER,a2wpvc96i24,2019-09-25T16:00:00Z,12827277,6:02,Yes
Film Theory: The Lorax Movie LIED To You!,m-_GFcWr0lI,2020-11-21T18:05:17Z,12710084,17:32,Yes
Bear’s WILDest Moments 🤯 Animals on the Loose: A You vs Wild Movie | Netflix After School,EucvD2TJ6xQ,2021-03-01T18:00:00Z,12705425,6:43,No
UNCHARTED - Live Action Fan Film (2018) Nathan Fillion,v5CZQpqF_74,2018-07-16T14:05:19Z,12543306,14:49,Yes
"CGI Animated Short Film: ""Pharaoh"" by Derrick Forkel, Mitchell Jao | CGMeetup",c0yxXmE6w_4,2018-08-30T20:57:32Z,12380899,5:09,Yes
Alternative Math | Short Film,Zh3Yz3PiXZw,2017-09-19T13:52:09Z,12330235,9:07,Yes
Anxiety - Short Film,mRqR4mOC4gc,2018-02-25T17:11:15Z,11603110,6:16,Yes
Six-Day War (1967) - Third Arab–Israeli War DOCUMENTARY,hHqJ6pgdE-c,2018-08-28T14:01:19Z,11594091,15:59,Yes
