Video Title,Video ID,Publish Date,Views,Video Length,Transcript Found
No Place Like Home | Cinematic 4K Vlog (Canon 90D),YtpEE6khXfA,2023-06-18T22:30:08Z,224422,2:19,Yes
fit check 🌟 I loveee the sandwich matching method  #aesthetic #vlog #outfitinspo #style,rgpWSpnAxkU,2024-01-14T19:00:20Z,29917,12,Yes
#minivlog #australia #vlog,5cDqPgx2tJM,2023-05-03T12:06:14Z,585350,59,Yes
reset vlog! 🎧  #aesthetic #vlog #grwm #shorts,Sna9nzK9z7w,2024-01-14T21:00:20Z,15757,9,Yes
Mini Vlog #australia #vlog #minivlog #beach #summer,tnGL-wzBSKE,2022-11-03T06:49:56Z,360816,59,Yes
Another dayyyy x #australia #vlog #minivlog #summer #brideyandjiny,qq1xHSc9QO8,2022-12-31T08:02:30Z,252784,1:00,Yes
Prince has been busy #funnyanimals #birds #crazybirds #parrot #funnybirds #funny #pets #vlog #vlogs,mQzfN4nFjm4,2024-01-14T20:39:56Z,22308,51,Yes
Cozy weekend morning routine 🤍 #morningroutine #morning #vlog,elZdXmsTFL4,2024-01-14T01:13:31Z,62026,26,Yes
A typical day in a woman's life! #shorts #ytshorts #shortfeed,eMCcs6buPJM,2024-01-12T02:24:11Z,284733,29,Yes
#minivlog #australia #vlog #australian,F3XgCio8x5s,2023-05-13T01:27:15Z,400546,1:00,Yes
Play to your strengths #momlife #parentlife #parenting #mom #vlog #story #parents #moms,Lkb9bJUInVk,2024-01-12T00:59:26Z,26058,59,Yes
WE SAW MIN YOONGI IRL?? 😭 #agustd #btsarmy #vlog,tp8wpqeA0io,2023-05-22T23:11:50Z,928586,1:00,Yes
#vlog #minivlog #australia #summer,jrVS0TWGhZI,2023-03-03T23:34:06Z,343647,1:01,Yes
First day of university and I’m already tired,MZEDpuQdDag,2023-03-04T11:23:08Z,564279,49,Yes
At friends house + shopping! #preppy #vlog #shorts,W8WG2wjdQ6k,2023-05-19T03:02:58Z,317679,9,Yes
study vlog 🤍,lVE2_Zbqo_g,2022-12-27T19:24:35Z,51553,11,Yes
What 7 Hours of Lecture is Like At Cornell University 👹📚(Vlog),Ta2EiP-7uHU,2023-03-24T02:55:04Z,943400,1:01,Yes
❄️🥶 solo parenting Saturday’s round these parts #vlog #momlife #vlogs #dailyvlog #mom #vlogger,C4qJgm47L7w,2024-01-14T01:50:17Z,22899,1:01,Yes
Behind the scenes of making a vlog! #travel #vlog #bts #europe,8W1GbcKHoLs,2023-02-27T16:15:00Z,621564,1:00,Yes
Day 2. Dark spectrum. Full holiday vlog is up and ready for you to watch too ❤️ #vlog #vividsydney,6q2IhuPdUP8,2023-06-17T10:27:52Z,604950,58,Yes
